SchoolID	Code	Name
104	ALGE8	Algebra 8
104	ARCH78	Architecture 7/8 
104	ART	"Art 5, Art 6, Art 7/8 "
104	AWKS-AND	Academic Workshop - Anderson 
104	AWKS-HET	Academic Workshop - Hettleman 
104	BAND5	5th Grade Band
104	BAND6	6th Grade Band
104	BANDA	Advanced Band
104	BANDB	Jazz Big Band
104	BANDC	Commencement Band
104	CHOR6	6th Grade Chorus
104	CHORA	Advanced Choir
104	CODE8	Coding
104	CORE6-BRI	Core 6 - Ms. Bridges
104	CORE6-BRU	Core 6 - Brundige
104	CORE6-KAR	Core 6 - Karlin
104	DRAM78	Drama 7/8
104	ELA6-BRU	Language Arts 6 - Brundige
104	ELA6-GOE	Language Arts 6 - Goetz
104	ELA7-MAL	Language Arts 7 - Maltzman
104	ELA7-MOR	Language Arts 7 - Moretti
104	ELA8-AND	Language Arts 8 - Anderson
104	ELA8-GAV	Language Arts 8 - Gavin
104	ELAH5-HAG	ELA/History Core 5 - Hagan
104	ELAH5-JEL	ELA/History Core 5 - Jelen
104	ELAH5-STE	ELA/History Core 5 - Stephens
104	ELAH5-WEL	ELA/History Core 5 - Wells
104	ELD	English Language Development
104	ENTR78	Enterprise 7/8
104	EX3D7	Expressions 3D
104	EXPR5	Expressions 5
104	EXPR6-GOE	Expressions 6 - Goetz
104	EXPR6-KAR	Expressions 6 - Karlin
104	EXPR6-OST	Expressions 6 - Osterman
104	FILM78	Film Making
104	HIST6-BRU	History 6 - Brundige
104	HIST6-GOE	History 6 - Goetz
104	HIST7	History 7
104	HIST8	History 8
104	JAZZC	Jazz Combo
104	JOUR78	Journalism 7/8
104	LIFE	Life Skills
104	LRNC	Kent Learning Center
104	MAKR7	Kent Makers 7
104	MATH6-LEN	Mathematics 6 - Lentini
104	MATH6-WID	Mathematics 6 - Widelock
104	MATH7-HET	Mathematics 7 - Hettleman
104	MATH7-LEN	Mathematics 7 - Lentini
104	MATH7-WID	Mathematics 7 - Widelock
104	MATH8	Mathematics 8 - Thelen
104	MATHX	Extended Math
104	MSCI5-AYR	Math/Science Core 5 - Ayres
104	MSCI5-GAL	Math/Science Core 5 - Gallagher
104	MSCI5-KLI	Math/Science Core 5 - Klima
104	PALG7	Math 7+ - Lentini
104	PE5	PE 5
104	PE6	PE 6
104	PE7	PE 7
104	PE8	PE 5/7/8 - Kelly
104	POET8	Poetry 8
104	READX	Extended Reading
104	ROBT5	Robotics 5
104	ROCKB	Rock Band
104	SCI6	Science 6
104	SCI7	Science 7
104	SCI8	Science 8
104	SCRW78	Screenwriting
104	SPANA	Spanish A
104	SPANB	Spanish B
104	WOOD5	Woodworking 5
104	WOOD78	Woodworking 7/8
103	ART	Art - Ms. Libby 
103	ELD	English Language Development - Mrs. Baetkey 
103	HOME1	1st Grade
103	HOME2	2nd Grade
103	HOME3	3rd Grade
103	HOME4	4th Grade
103	HOMEK	Kindergarten
103	HOMETK	Transitional Kindergarten
103	LRNC	Learning Center - Ms. Meehan and Ms. Shelly 
103	MUSC	Music - Ms. Poon 
103	PE	P.E. - Ms. McDonald-Toy and Mr. Schafer 
103	SDC	K/1 Combo Class - Ms. Roth 
